Númer Dýrs,Nafn Dýrs,Fræðiheiti,Afkvæmi min,Afkvæmi avg,Afkvæmi max,Líftími min,Líftími avg,Líftími max,Fætur,Þyngd min,Þyngd avg,Þyngd max,Lengd min,Lengd avg,Lengd max,Vísun án by,Url á upplýsingar um mynd,Url á mynd
1,Kyrrahafs bananasnigillinn,Ariolimax columbianus,,75,,1,,7,0,,"0,115",,"0,17",,"0,25","Thomas Schoch – CC BY-SA 2.5,", https://commons.wikimedia.org/w/index.php?curid=733211,https://upload.wikimedia.org/wikipedia/commons/b/b5/Banana_Slug-1.jpg
2,Fjarðarlandsmörgæsin,Eudyptes pachyrhynchus,,2,,10,,20,2,2,,6,,"0,6",,"Francesco Veronesi from Italy - Fiordland Crested Penguin - Stewart Island - New ZealandFJ0A7957, CC BY-SA 2.0",https://commons.wikimedia.org/w/index.php?curid=65032125,https://upload.wikimedia.org/wikipedia/commons/5/57/Fiordland_Crested_Penguin_-_Stewart_Island_-_New_Zealand_%2839070132111%29.jpg
3,Japanski kóngulóarkrabbinn,Macrocheira kaempferi,,1.500.000,,50,,100,10,16,,20,3,,"3,7","Tsarli at English Wikipedia, CC BY-SA 3.0", https://commons.wikimedia.org/w/index.php?curid=7252951,https://upload.wikimedia.org/wikipedia/commons/4/45/Spider_crab_at_manila_ocean_park.jpg
4,Týrusporðdrekinn,Euscorpius flavicaudis,10,,30,3,,8,8,"0,0003",,"0,001","0,035",,"0,045","Já - Own work, Public Domain",https://commons.wikimedia.org/w/index.php?curid=3195940,https://upload.wikimedia.org/wikipedia/commons/3/32/Euscorpius_flavicaudis.jpg
5,Grassnákurinn,Natrix natrix,8,,40,,20,,0,,"0,24",,,1,,"Ian McIntosh - Own work, CC BY-SA 3.0", https://commons.wikimedia.org/w/index.php?curid=16644321,https://upload.wikimedia.org/wikipedia/commons/d/d9/Natrix_natrix.png
6,Stóri túkaninn,Ramphastos toco,2,,4,12,,20,2,"0,5",,"0,8","0,5",,"0,7","Bernard DUPONT from FRANCE - Toco Toucan (Ramphastos toco) in Papaya Tree (Carica papaya), CC BY-SA 2.0",https://commons.wikimedia.org/w/index.php?curid=50761599,https://upload.wikimedia.org/wikipedia/commons/3/3f/Toco_Toucan_%28Ramphastos_toco%29_in_Papaya_Tree_%28Carica_papaya%29_%2828997424215%29.jpg
7,Konungskóbran,Ophiophagus hannah,7,,43,11,,17,0,5,,12,2,,4,"Michael Allen Smith from Seattle, USA - 12 - The Mystical King Cobra and Coffee Forests, CC BY-SA 2.0",https://commons.wikimedia.org/w/index.php?curid=25482569,https://upload.wikimedia.org/wikipedia/commons/4/4d/12_-_The_Mystical_King_Cobra_and_Coffee_Forests.jpg
8,Sverðfiskurinn,Xiphias gladius,1.000.000,,29.000.000,,15,,0,,650,,,3,,"NOAA Deep Sea Coral Research &amp; Technology Program-Pelagic Research Services. - Expedition Report: 2017 Southeast Deep Coral Initiative (SEDCI) expedition aboard NOAA Ship Nancy Foster (NF-17-08: August 12-31, 2017) NOAA Technical, Public Domain", https://commons.wikimedia.org/w/index.php?curid=81240651,https://upload.wikimedia.org/wikipedia/commons/1/19/Swordfish_natural_environment.jpg
9,Rauðíkorninn,Sciurus vulgaris,,3,,,3,,4,"0,2",,"0,3","0,3",,"0,5","hedera.baltica from Wrocław, Poland - Squirrel, CC BY-SA 2.0",https://commons.wikimedia.org/w/index.php?curid=43379772,https://upload.wikimedia.org/wikipedia/commons/0/05/Squirrel_%2817026400639%29.jpg
10,Karabíahafs flæminginn,Phoenicopterus ruber,,1,,,40,,2,2,,3,"1,2",,"1,45","Paul Asman and Jill Lenoble - American flamingo Phoenicopterus ruber, CC BY 2.0",https://commons.wikimedia.org/w/index.php?curid=26486292,https://upload.wikimedia.org/wikipedia/commons/7/7d/Phoenicopterus_ruber_Bonaire_2.jpg
